,Year,COU,Country,Composting%,Disposal%,Landfill%,Material_recovery%,Recovery%,Recycling%,Amt_for_recovery_operations,Composting,Electronic_waste,Household_waste,Landfill,Municipal_waste_generated,Municipal_waste_generated_percapita,Municipal_waste_generated_1990,Municipal_waste_generated_2000,Municipal_waste_treated,Recycling,Total_Incineration,Waste_from_households,Country_y,CO2_emissions_percapita,Female_education_attainment_bach,Male_education_attainment_bach,Total_education_attainment_bach,Energy_use_percapita,Forest_area,GDP_2015_USD,GDP_growth%,GDP_percapita_2015_USD,GDP_percapita_growth%,Education_expense_%_of_gdp,Education_expense_%_of_total_exp,Population_density,Population_growth%,Population_female,Population_female_%,Population_total,Poverty_headcount%_ppp,Poverty_headcount%_national_line,Population_urban%,Population_urban_growth%
0,1990,AUT,Austria,23.171,56.277,56.277,34.529,43.723,11.358,1536.0,814.0,,,1977.0,3204.0,414.814,100.0,68.963,3513.0,399.0,312.0,2504.0,Austria,7.58936421003276,,,,3240.1113592998,37756.7,240629049863.283,4.34564139947821,31340.6812927165,3.55354764697123,4.95725011825562,11.5131101608276,93.0422927775085,0.762001611316115,4005232,52.1660667580361,7677850,,,62.96,0.332494357748522
1,1990,BEL,Belgium,5.983,66.751,43.853,11.108,33.249,5.125,1317.0,237.0,,,1737.0,3436.0,343.375,100.0,71.131,3961.0,203.0,1784.0,2884.0,Belgium,10.9667747158004,,,,4809.86726801499,7632.0,293456205020.658,3.13740231557445,29441.6621481593,2.83026797508926,,,,0.298235706313592,5090672,51.0733225104169,9967379,,,96.377,0.386473447431904
2,1990,CHE,Switzerland,6.341,22.68,22.68,28.547,77.32,22.207,3170.6,260.0,,,930.0,4100.6,616.366,100.0,86.675,4100.6,910.6,2000.0,2733.7,Switzerland,6.45221910622247,,,,3627.6928112332,11535.0,471424893436.781,3.67462569741268,70199.3238998774,2.61546630180642,4.38824987411499,17.181640625,169.888411039996,1.02687307219521,3437405,51.1859913754554,6715519,,,73.926,0.945758640258411
3,1990,CHN,China (People's Republic of),,,,,,,,,,,,67668.0,,100.0,57.254,,,,,China,1.91454256354691,,,,766.995329395649,1571405.9,1027377455186.3,3.92025136776569,905.030858570453,2.40655857199583,,,120.448249116415,1.46730321087928,552721134,48.6899610599665,1135185000,72.0,,26.442,4.30967848070248
4,1990,DEU,Germany,,,,,,,,,,,,49857.0,630.67,100.0,94.408,,,,,Germany,12.0266092332951,,,,4421.36453086788,113000.0,2342139255489.1,5.25500608278011,29485.7099744881,4.35163905422439,,,227.517053819494,0.861969448764933,41104568,51.7474514630407,79433029,,,73.118,1.05636514177316
5,1990,ESP,Spain,20.33,76.21,74.345,20.846,23.79,0.516,3000.05,2563.72,,12610.78,9375.53,,,,,12610.78,65.13,606.4,,Spain,5.53035272149699,,,,2317.47677393364,139046.6,737315955961.954,3.78139337826686,18970.0735224813,3.67576777434031,3.63358998298645,10.1422901153564,77.8218044209515,0.101828842607043,19827512,51.0133225095405,38867322,0.5,,75.351,0.40087871221168
6,1990,GBR,United Kingdom,,,,,,,700.0,,,,,27100.0,474.32,100.0,79.814,,700.0,,20000.0,United Kingdom,9.81299019315854,,,,3597.05162065698,27780.0,1801533517464.78,0.733755520212199,31469.1612929282,0.433081174319,4.05552005767822,11.0994596481323,236.628719050965,0.298930554095876,29420457,51.3916113936099,57247586,,,78.14,0.234964714351841
7,1990,GRC,Greece,,94.043,94.043,5.957,5.957,5.957,178.7,,,,2821.0,3000.0,293.37,100.0,67.461,2999.7,178.7,,,Greece,7.4160579131162,,,,2102.67768529553,32985.51,158314461591.826,0.0,15525.9086967573,-1.05223289834684,2.04608011245728,7.19843006134033,79.1062218774244,1.05780801198192,5141255,50.4203211620586,10196792,,,71.467,1.32121233166716
8,1990,HUN,Hungary,0.0,92.807,92.807,0.0,7.193,0.0,300.0,0.0,,,3871.0,5500.0,530.012,100.0,120.826,4171.0,0.0,300.0,2468.0,Hungary,6.49894717441354,,,,2774.4920275597,18139.0,,,,,,,115.433270279292,-1.03311729690015,5391730,51.9735553213869,10373988,,,65.838,-0.990578862198139
9,1990,ITA,Italy,,,,,,,,,,,,20000.0,350.58,100.0,69.063,,,,,Italy,7.14501816314887,,,,2583.88807748482,75897.5,1559247756414.99,1.98577494287171,27490.6320397627,1.90043982743266,,,192.850430111183,0.0837085729587984,29146541,51.3873969497077,56719240,,,66.726,0.0537393805274748
